中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度,峰值速度数值
35.183.163.195,443,35.183.105.154,CA,,隧道,23 ms,808 Mbps,103424 kB/s,103424.0
3.144.191.4,443,3.144.191.4,US,Chicago,中转,33 ms,653 Mbps,83660 kB/s,83660.0
150.136.240.243,443,150.136.240.243,US,Ashburn,中转,61 ms,644 Mbps,82534 kB/s,82534.0
18.216.55.100,443,18.216.55.100,US,Chicago,中转,22 ms,562 Mbps,71987 kB/s,71987.0
35.202.158.120,443,35.202.158.120,US,Chicago,中转,33 ms,532 Mbps,68198 kB/s,68198.0
34.69.150.180,443,34.69.150.180,US,,中转,36 ms,524 Mbps,67072 kB/s,67072.0
3.138.59.154,443,3.130.64.226,US,,隧道,24 ms,483 Mbps,61849 kB/s,61849.0
18.191.122.211,443,3.130.64.226,US,,隧道,22 ms,375 Mbps,48025 kB/s,48025.0
193.122.197.111,443,193.122.197.111,US,Ashburn,中转,11 ms,360 Mbps,46080 kB/s,46080.0
43.153.80.208,443,43.153.80.208,US,San Jose,中转,69 ms,336 Mbps,43110 kB/s,43110.0
129.146.175.160,443,129.146.175.160,US,Los Angeles,中转,60 ms,333 Mbps,42700 kB/s,42700.0
43.153.103.203,443,43.153.103.203,US,San Jose,中转,71 ms,326 Mbps,41779 kB/s,41779.0
158.101.15.48,443,158.101.15.48,US,Los Angeles,中转,65 ms,322 Mbps,41267 kB/s,41267.0
198.23.236.101,443,198.23.236.101,US,San Jose,中转,74 ms,318 Mbps,40755 kB/s,40755.0
184.169.181.217,443,184.169.181.217,US,San Jose,中转,63 ms,315 Mbps,40345 kB/s,40345.0
107.172.98.6,443,2001:470:c:30a::2,US,Los Angeles,隧道,68 ms,312 Mbps,40038 kB/s,40038.0
129.146.133.33,443,129.146.133.33,US,Los Angeles,中转,64 ms,304 Mbps,38912 kB/s,38912.0
192.9.138.241,443,192.9.138.241,US,San Jose,中转,73 ms,299 Mbps,38297 kB/s,38297.0
35.197.23.75,443,34.169.20.76,US,Seattle,隧道,72 ms,299 Mbps,38297 kB/s,38297.0
35.230.79.26,443,34.169.20.76,US,Seattle,隧道,77 ms,284 Mbps,36352 kB/s,36352.0
23.94.43.51,443,23.94.43.51,US,Seattle,中转,75 ms,280 Mbps,35942 kB/s,35942.0
129.146.46.164,443,129.146.46.164,US,Los Angeles,中转,75 ms,272 Mbps,34918 kB/s,34918.0
158.101.209.76,443,158.101.209.76,NL,Amsterdam,中转,89 ms,264 Mbps,33894 kB/s,33894.0
34.82.76.253,443,35.233.242.94,US,Seattle,隧道,71 ms,264 Mbps,33792 kB/s,33792.0
192.18.140.32,443,2603:c024:c001:187e:bf78:be6d:4:259b,US,San Jose,隧道,88 ms,260 Mbps,33280 kB/s,33280.0
150.230.42.80,443,104.28.201.73,US,San Jose,隧道,74 ms,259 Mbps,33177 kB/s,33177.0
18.159.105.97,443,3.68.128.205,DE,,隧道,90 ms,247 Mbps,31641 kB/s,31641.0
18.192.93.64,443,2a05:d014:ed:9600:f52b:ab01:6bb:bc9d,DE,,隧道,91 ms,245 Mbps,31436 kB/s,31436.0
141.148.227.19,443,141.148.227.19,NL,Amsterdam,中转,84 ms,245 Mbps,31436 kB/s,31436.0
150.230.44.13,443,150.230.44.13,US,San Jose,中转,92 ms,239 Mbps,30617 kB/s,30617.0
143.47.238.228,443,2606:f240:f00:b2ed:0:7c46:2dab:961e,US,Frankfurt,隧道,94 ms,239 Mbps,30617 kB/s,30617.0
44.224.24.91,443,44.224.24.91,US,,中转,89 ms,238 Mbps,30515 kB/s,30515.0
129.159.204.127,443,2606:f240:f00:83a7:0:d008:7861:c040,US,Frankfurt,隧道,96 ms,237 Mbps,30412 kB/s,30412.0
204.110.220.3,443,204.110.220.206,US,,隧道,88 ms,229 Mbps,29388 kB/s,29388.0
35.157.240.237,443,3.68.128.205,DE,,隧道,95 ms,228 Mbps,29286 kB/s,29286.0
54.203.85.46,443,204.110.220.255,US,,隧道,86 ms,225 Mbps,28876 kB/s,28876.0
18.184.55.249,443,18.184.55.249,DE,Frankfurt,中转,106 ms,220 Mbps,28262 kB/s,28262.0
3.67.25.193,443,18.197.218.69,DE,Frankfurt,隧道,93 ms,219 Mbps,28057 kB/s,28057.0
3.68.62.122,443,3.68.128.205,DE,,隧道,91 ms,216 Mbps,27750 kB/s,27750.0
130.61.23.77,443,130.61.23.77,DE,Frankfurt,中转,92 ms,216 Mbps,27750 kB/s,27750.0
141.144.197.111,443,141.144.197.111,NL,Amsterdam,中转,84 ms,216 Mbps,27648 kB/s,27648.0
150.230.116.250,443,2606:f240:f00:83a7:0:2c4a:d10a:671a,US,Frankfurt,隧道,95 ms,215 Mbps,27545 kB/s,27545.0
144.21.54.140,443,2606:f240:f00:b2ed:0:ac00:cf80:2503,US,Frankfurt,隧道,95 ms,213 Mbps,27340 kB/s,27340.0
141.144.194.75,443,2606:f240:f00:83a7:0:27d3:24bc:2bf6,US,Frankfurt,隧道,89 ms,212 Mbps,27238 kB/s,27238.0
3.127.55.133,443,2a05:d014:ed:9600:f52b:ab01:6bb:bc9d,DE,,隧道,91 ms,210 Mbps,26931 kB/s,26931.0
18.197.218.69,443,18.197.218.69,DE,Frankfurt,中转,122 ms,209 Mbps,26828 kB/s,26828.0
18.156.209.101,443,2a05:d014:ed:9600:f52b:ab01:6bb:bc9d,DE,,隧道,94 ms,207 Mbps,26521 kB/s,26521.0
23.94.217.204,443,23.94.217.204,NL,Amsterdam,中转,91 ms,207 Mbps,26521 kB/s,26521.0
18.185.254.189,443,3.68.128.205,DE,,隧道,194 ms,206 Mbps,26419 kB/s,26419.0
141.145.199.188,443,141.145.199.188,FR,,中转,95 ms,204 Mbps,26112 kB/s,26112.0
3.67.232.136,443,2a05:d014:ed:9600:f52b:ab01:6bb:bc9d,DE,,隧道,98 ms,203 Mbps,26009 kB/s,26009.0
130.61.83.37,443,130.61.83.37,DE,Frankfurt,中转,89 ms,202 Mbps,25907 kB/s,25907.0
3.66.115.225,443,2a05:d014:ed:9600:f52b:ab01:6bb:bc9d,DE,,隧道,97 ms,198 Mbps,25395 kB/s,25395.0
138.3.254.39,443,138.3.254.39,DE,Frankfurt,中转,89 ms,195 Mbps,24985 kB/s,24985.0
18.236.13.188,443,204.110.220.101,US,,隧道,86 ms,194 Mbps,24883 kB/s,24883.0
158.101.223.153,443,2606:f240:f00:83a7:0:cc4c:3133:56ac,US,Newark,隧道,103 ms,192 Mbps,24576 kB/s,24576.0
132.145.236.236,443,163.123.193.7,DE,Frankfurt,隧道,162 ms,184 Mbps,23654 kB/s,23654.0
152.67.132.67,443,2606:f240:f00:b2ed:0:ccf4:808b:17d9,US,Frankfurt,隧道,91 ms,167 Mbps,21401 kB/s,21401.0
141.147.75.96,443,2606:f240:f00:83a7:0:8841:ee7f:dbab,US,Frankfurt,隧道,97 ms,153 Mbps,19660 kB/s,19660.0
129.146.248.140,443,129.146.248.140,US,Los Angeles,中转,64 ms,148 Mbps,18944 kB/s,18944.0
141.147.115.77,443,2606:f240:f00:2be4:0:d150:426a:b815,US,Frankfurt,隧道,106 ms,140 Mbps,17920 kB/s,17920.0
193.122.6.99,443,2606:f240:f00:2be4:0:fb70:3b8e:adbb,US,Frankfurt,隧道,101 ms,137 Mbps,17612 kB/s,17612.0
132.226.214.198,443,2606:f240:f00:a683:0:41b8:869d:ced3,US,Frankfurt,隧道,96 ms,133 Mbps,17100 kB/s,17100.0
132.145.232.37,443,98.98.166.178,AE,Frankfurt,隧道,88 ms,133 Mbps,17100 kB/s,17100.0
141.144.197.206,443,2a0b:21c0:1007:c9:0:84c:8cc5:f10e,DE,Frankfurt,隧道,191 ms,132 Mbps,16998 kB/s,16998.0
