中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度
198.46.188.190,443,2a09:bac5:a5fc:1ed2::312:2b,US,Toronto,隧道,28 ms,94 Mbps,12083 kB/s
129.146.46.164,443,129.146.46.164,US,Los Angeles,中转,62 ms,314 Mbps,40243 kB/s
184.169.181.217,443,184.169.181.217,US,San Jose,中转,64 ms,374 Mbps,47923 kB/s
3.144.191.4,443,3.144.191.4,US,Columbus,中转,21 ms,794 Mbps,101683 kB/s
192.9.138.241,443,192.9.138.241,US,San Jose,中转,52 ms,417 Mbps,53452 kB/s
43.153.103.203,443,43.153.103.203,US,San Jose,中转,78 ms,462 Mbps,59187 kB/s
18.216.55.100,443,18.216.55.100,US,Chicago,中转,48 ms,646 Mbps,82739 kB/s
35.230.79.26,443,34.169.20.76,US,Seattle,隧道,55 ms,410 Mbps,52531 kB/s
193.122.197.111,443,193.122.197.111,US,Ashburn,中转,22 ms,328 Mbps,41984 kB/s
192.18.159.129,443,192.18.159.129,CA,Toronto,中转,14 ms,64 Mbps,8261 kB/s
198.46.193.167,443,198.46.193.167,US,Dallas,中转,33 ms,53 Mbps,6864 kB/s
198.23.236.101,443,198.23.236.101,US,San Jose,中转,54 ms,378 Mbps,48435 kB/s
129.146.248.140,443,129.146.248.140,US,Los Angeles,中转,52 ms,197 Mbps,25292 kB/s
140.238.158.238,443,140.238.158.238,CA,Toronto,中转,23 ms,58 Mbps,7449 kB/s
129.146.254.39,443,2603:c020:9:e483:690:2c88:ed7a:3091,US,Los Angeles,隧道,52 ms,25 Mbps,3295 kB/s
23.94.217.204,443,23.94.217.204,NL,Amsterdam,中转,99 ms,219 Mbps,28057 kB/s
138.3.254.39,443,138.3.254.39,DE,Frankfurt,中转,106 ms,188 Mbps,24166 kB/s
18.184.55.249,443,18.184.55.249,DE,Frankfurt,中转,109 ms,196 Mbps,25190 kB/s
43.153.80.208,443,43.153.80.208,US,San Jose,中转,56 ms,452 Mbps,57856 kB/s
152.67.233.64,443,2603:c024:c004:dd3f:333e:3245:d0f3:9f67,US,San Jose,隧道,55 ms,205 Mbps,26316 kB/s
107.172.98.6,443,2001:470:c:30a::2,US,Los Angeles,隧道,82 ms,460 Mbps,58982 kB/s
130.61.23.77,443,130.61.23.77,DE,Frankfurt,中转,105 ms,188 Mbps,24166 kB/s
84.235.169.234,443,84.235.169.234,NL,Amsterdam,中转,198 ms,48 Mbps,6267 kB/s
35.202.158.120,443,35.202.158.120,US,Chicago,中转,117 ms,1104 Mbps,141312 kB/s
35.197.23.75,443,34.169.20.76,US,Seattle,隧道,51 ms,417 Mbps,53452 kB/s
23.94.43.51,443,23.94.43.51,US,Seattle,中转,52 ms,387 Mbps,49561 kB/s
168.138.66.11,443,168.138.66.11,CA,Toronto,中转,30 ms,51 Mbps,6548 kB/s
129.146.175.160,443,129.146.175.160,US,Los Angeles,中转,52 ms,270 Mbps,34611 kB/s
3.112.21.102,443,3.112.21.102,JP,Tokyo,中转,143 ms,115 Mbps,14745 kB/s
141.147.50.63,443,2a0b:21c0:1007:1c8:0:ce26:cc74:7373,DE,Frankfurt,隧道,113 ms,136 Mbps,17510 kB/s
129.213.136.180,443,129.213.136.180,US,Ashburn,中转,47 ms,67 Mbps,8641 kB/s
47.254.65.110,443,47.254.65.110,US,San Jose,中转,73 ms,0 Mbps,42 kB/s
129.146.133.33,443,129.146.133.33,US,Los Angeles,中转,52 ms,400 Mbps,51200 kB/s
8.211.54.130,443,8.211.54.130,DE,Frankfurt,中转,247 ms,38 Mbps,4897 kB/s
18.197.218.69,443,18.197.218.69,DE,Frankfurt,中转,107 ms,206 Mbps,26419 kB/s
132.145.232.37,443,98.98.166.178,AE,Frankfurt,隧道,191 ms,136 Mbps,17510 kB/s
3.67.25.193,443,18.197.218.69,DE,Frankfurt,隧道,110 ms,175 Mbps,22425 kB/s
129.154.50.220,443,129.154.50.220,KR,Seoul,中转,170 ms,91 Mbps,11673 kB/s
64.110.103.69,443,64.110.103.69,,colo.txt:Osaka,中转,0 ms,33 Mbps,4341 kB/s
35.201.203.106,443,35.201.203.106,TW,Taipei,中转,173 ms,82 Mbps,10547 kB/s
54.169.229.188,443,2406:da18:618:7e00:33b7:2027:d986:fdaa,SG,Singapore,隧道,207 ms,2 Mbps,306 kB/s
129.159.130.38,443,129.159.130.38,IL,Tel Aviv,中转,144 ms,34 Mbps,4459 kB/s
141.144.197.111,443,141.144.197.111,NL,Amsterdam,中转,100 ms,90 Mbps,11571 kB/s
141.148.229.106,443,141.148.229.106,NL,Amsterdam,中转,101 ms,44 Mbps,5694 kB/s
152.70.90.168,443,2603:c022:8004:1505::5,KR,Seoul,隧道,169 ms,78 Mbps,9992 kB/s
144.21.49.243,443,163.123.193.23,DE,Frankfurt,隧道,105 ms,113 Mbps,14540 kB/s
158.180.65.13,443,158.180.65.13,KR,Seoul,中转,172 ms,42 Mbps,5478 kB/s
144.24.74.51,443,144.24.74.51,KR,Seoul,中转,170 ms,100 Mbps,12800 kB/s
193.122.107.147,443,193.122.107.147,KR,Seoul,中转,170 ms,42 Mbps,5494 kB/s
64.110.98.49,443,104.28.206.113,JP,Osaka,隧道,196 ms,40 Mbps,5196 kB/s
192.9.177.204,443,192.9.177.204,AU,Sydney,中转,190 ms,84 Mbps,10752 kB/s
168.138.165.174,443,168.138.165.174,SG,Singapore,中转,206 ms,41 Mbps,5291 kB/s
158.101.65.113,443,2602:ffe4:407:20d9:0:a988:a3f0:6d9,SG,Singapore,隧道,238 ms,60 Mbps,7730 kB/s
144.24.80.97,443,2602:ffe4:407:21d9:0:5f7b:d3f2:960c,SG,Singapore,隧道,230 ms,63 Mbps,8088 kB/s
64.110.104.30,443,64.110.104.30,JP,Osaka,中转,196 ms,15 Mbps,1942 kB/s
143.47.238.228,443,2606:f240:f00:b2ed:0:7c46:2dab:961e,US,Frankfurt,隧道,105 ms,184 Mbps,23654 kB/s
141.147.163.68,443,141.147.163.68,JP,Tokyo,中转,215 ms,39 Mbps,5003 kB/s
168.138.185.234,443,168.138.185.234,SG,Singapore,中转,205 ms,71 Mbps,9092 kB/s
146.56.152.52,443,128.14.104.155,US,Singapore,隧道,220 ms,71 Mbps,9184 kB/s
129.159.22.4,443,129.159.22.4,IN,Chennai,中转,232 ms,39 Mbps,5095 kB/s
129.151.148.35,443,2a09:bac5:12:25a::3c:1c,AE,Dubai,隧道,210 ms,30 Mbps,3962 kB/s
141.147.161.250,443,141.147.161.250,JP,Tokyo,中转,217 ms,36 Mbps,4711 kB/s
8.210.92.27,443,8.210.92.27,HK,Hong Kong,中转,212 ms,0 Mbps,33 kB/s
129.159.241.172,443,129.159.241.172,DE,,中转,125 ms,108 Mbps,13824 kB/s
168.138.46.67,443,168.138.46.67,JP,Osaka,中转,394 ms,37 Mbps,4769 kB/s
138.2.69.100,443,2603:c024:4507:3b0f:9fca:905d:c918:efa2,SG,Singapore,隧道,218 ms,65 Mbps,8345 kB/s
132.226.7.217,443,132.226.7.217,JP,Tokyo,中转,221 ms,35 Mbps,4505 kB/s
8.213.137.24,443,8.213.137.24,SG,,中转,168 ms,100 Mbps,12902 kB/s
138.3.222.33,443,138.3.222.33,JP,Tokyo,中转,227 ms,31 Mbps,3977 kB/s
3.138.59.154,443,3.130.64.226,US,,隧道,10 ms,912 Mbps,116736 kB/s
204.110.220.3,443,204.110.220.206,US,,隧道,58 ms,338 Mbps,43315 kB/s
44.224.24.91,443,44.224.24.91,US,,中转,62 ms,347 Mbps,44441 kB/s
34.69.150.180,443,34.69.150.180,US,,中转,108 ms,743 Mbps,95129 kB/s
18.191.122.211,443,3.130.64.226,US,,隧道,11 ms,920 Mbps,117760 kB/s
