中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度,峰值速度数值
144.21.57.17,443,2a0b:21c0:100a:1b4:0:1ac4:fb5e:27c4,DE,Chicago,隧道,108 ms,119 Mbps,15257 kB/s,15257.0
3.112.21.102,443,3.112.21.102,JP,Tokyo,中转,143 ms,115 Mbps,14745 kB/s,14745.0
144.21.49.243,443,163.123.193.23,DE,Frankfurt,隧道,105 ms,113 Mbps,14540 kB/s,14540.0
129.159.241.172,443,129.159.241.172,DE,,中转,125 ms,108 Mbps,13824 kB/s,13824.0
152.70.48.170,443,98.98.156.6,AE,Frankfurt,隧道,106 ms,104 Mbps,13414 kB/s,13414.0
152.67.212.141,443,152.67.212.141,KR,Seoul,中转,170 ms,100 Mbps,12902 kB/s,12902.0
8.213.137.24,443,8.213.137.24,SG,,中转,168 ms,100 Mbps,12902 kB/s,12902.0
144.24.74.51,443,144.24.74.51,KR,Seoul,中转,170 ms,100 Mbps,12800 kB/s,12800.0
198.46.188.190,443,2a09:bac5:a5fc:1ed2::312:2b,US,Toronto,隧道,28 ms,94 Mbps,12083 kB/s,12083.0
144.24.83.39,443,144.24.83.39,KR,Seoul,中转,171 ms,93 Mbps,11980 kB/s,11980.0
129.154.50.220,443,129.154.50.220,KR,Seoul,中转,170 ms,91 Mbps,11673 kB/s,11673.0
141.144.197.111,443,141.144.197.111,NL,Amsterdam,中转,100 ms,90 Mbps,11571 kB/s,11571.0
103.137.63.3,443,61.224.89.59,TW,,隧道,168 ms,88 Mbps,11264 kB/s,11264.0
192.9.177.204,443,192.9.177.204,AU,Sydney,中转,190 ms,84 Mbps,10752 kB/s,10752.0
35.201.203.106,443,35.201.203.106,TW,Taipei,中转,173 ms,82 Mbps,10547 kB/s,10547.0
129.150.50.63,443,129.150.50.63,SG,Singapore,中转,214 ms,82 Mbps,10547 kB/s,10547.0
152.70.90.168,443,2603:c022:8004:1505::5,KR,Seoul,隧道,169 ms,78 Mbps,9992 kB/s,9992.0
124.156.202.172,443,124.156.202.172,SG,,中转,255 ms,75 Mbps,9709 kB/s,9709.0
138.2.56.246,443,138.2.56.246,JP,Osaka,中转,203 ms,75 Mbps,9623 kB/s,9623.0
144.21.56.85,443,2a0b:21c0:100a:1f9:0:8405:db57:a786,DE,Frankfurt,隧道,108 ms,74 Mbps,9504 kB/s,9504.0
146.56.152.52,443,128.14.104.155,US,Singapore,隧道,220 ms,71 Mbps,9184 kB/s,9184.0
168.138.185.234,443,168.138.185.234,SG,Singapore,中转,205 ms,71 Mbps,9092 kB/s,9092.0
144.24.243.207,443,144.24.243.207,CH,,中转,114 ms,71 Mbps,9088 kB/s,9088.0
129.213.136.180,443,129.213.136.180,US,Ashburn,中转,47 ms,67 Mbps,8641 kB/s,8641.0
152.69.225.156,443,2602:ffe4:407:20d9:0:5b7:c55b:c8da,SG,Singapore,隧道,231 ms,66 Mbps,8478 kB/s,8478.0
138.2.69.100,443,2603:c024:4507:3b0f:9fca:905d:c918:efa2,SG,Singapore,隧道,218 ms,65 Mbps,8345 kB/s,8345.0
192.18.159.129,443,192.18.159.129,CA,Toronto,中转,14 ms,64 Mbps,8261 kB/s,8261.0
152.67.212.12,443,2602:ffe4:407:21d9:0:5798:b407:41ed,SG,Singapore,隧道,369 ms,63 Mbps,8098 kB/s,8098.0
144.24.80.97,443,2602:ffe4:407:21d9:0:5f7b:d3f2:960c,SG,Singapore,隧道,230 ms,63 Mbps,8088 kB/s,8088.0
140.238.33.161,443,2603:c021:8002:900:4858:eede:fd8a:dd52,JP,Tokyo,隧道,217 ms,61 Mbps,7922 kB/s,7922.0
130.162.140.40,443,2602:ffe4:407:21d9:0:15b9:3946:4c5,SG,Singapore,隧道,323 ms,60 Mbps,7780 kB/s,7780.0
158.101.65.113,443,2602:ffe4:407:20d9:0:a988:a3f0:6d9,SG,Singapore,隧道,238 ms,60 Mbps,7730 kB/s,7730.0
43.204.146.16,443,43.204.146.16,IN,,中转,217 ms,59 Mbps,7642 kB/s,7642.0
140.238.158.238,443,140.238.158.238,CA,Toronto,中转,23 ms,58 Mbps,7449 kB/s,7449.0
198.46.193.167,443,198.46.193.167,US,Dallas,中转,33 ms,53 Mbps,6864 kB/s,6864.0
152.70.112.158,443,152.70.112.158,US,San Jose,中转,52 ms,53 Mbps,6853 kB/s,6853.0
141.147.184.160,443,141.147.184.160,JP,Tokyo,中转,358 ms,52 Mbps,6713 kB/s,6713.0
144.24.78.162,443,144.24.78.162,KR,Seoul,中转,168 ms,51 Mbps,6623 kB/s,6623.0
168.138.66.11,443,168.138.66.11,CA,Toronto,中转,30 ms,51 Mbps,6548 kB/s,6548.0
152.67.44.30,443,152.67.44.30,BR,São Paulo,中转,133 ms,49 Mbps,6362 kB/s,6362.0
84.235.169.234,443,84.235.169.234,NL,Amsterdam,中转,198 ms,48 Mbps,6267 kB/s,6267.0
152.70.119.237,443,2a09:bac1:76c0:1cf0::1d0:b0,US,San Jose,隧道,61 ms,47 Mbps,6047 kB/s,6047.0
152.67.78.184,443,152.67.78.184,CH,Zurich,中转,114 ms,47 Mbps,6043 kB/s,6043.0
155.248.196.123,443,155.248.196.123,US,Vancouver,中转,52 ms,45 Mbps,5803 kB/s,5803.0
193.123.81.105,443,193.123.81.105,AE,Milan,中转,205 ms,44 Mbps,5741 kB/s,5741.0
141.148.229.106,443,141.148.229.106,NL,Amsterdam,中转,101 ms,44 Mbps,5694 kB/s,5694.0
193.122.107.147,443,193.122.107.147,KR,Seoul,中转,170 ms,42 Mbps,5494 kB/s,5494.0
158.180.65.13,443,158.180.65.13,KR,Seoul,中转,172 ms,42 Mbps,5478 kB/s,5478.0
158.101.175.51,443,158.101.175.51,DE,Frankfurt,中转,167 ms,42 Mbps,5444 kB/s,5444.0
158.180.231.216,443,2603:c027:1:5610:e035:d6ae:8635:ee8d,IT,,隧道,112 ms,41 Mbps,5350 kB/s,5350.0
168.138.165.174,443,168.138.165.174,SG,Singapore,中转,206 ms,41 Mbps,5291 kB/s,5291.0
64.110.98.49,443,104.28.206.113,JP,Osaka,隧道,196 ms,40 Mbps,5196 kB/s,5196.0
132.226.31.178,443,2a09:bac5:60ee:1846::26b:22,US,Los Angeles,隧道,53 ms,40 Mbps,5185 kB/s,5185.0
129.159.22.4,443,129.159.22.4,IN,Chennai,中转,232 ms,39 Mbps,5095 kB/s,5095.0
141.147.163.68,443,141.147.163.68,JP,Tokyo,中转,215 ms,39 Mbps,5003 kB/s,5003.0
8.211.54.130,443,8.211.54.130,DE,Frankfurt,中转,247 ms,38 Mbps,4897 kB/s,4897.0
168.138.46.67,443,168.138.46.67,JP,Osaka,中转,394 ms,37 Mbps,4769 kB/s,4769.0
141.147.161.250,443,141.147.161.250,JP,Tokyo,中转,217 ms,36 Mbps,4711 kB/s,4711.0
132.226.7.217,443,132.226.7.217,JP,Tokyo,中转,221 ms,35 Mbps,4505 kB/s,4505.0
193.123.69.77,443,193.123.69.77,AE,,中转,205 ms,34 Mbps,4459 kB/s,4459.0
129.159.130.38,443,129.159.130.38,IL,Tel Aviv,中转,144 ms,34 Mbps,4459 kB/s,4459.0
64.110.103.69,443,64.110.103.69,,colo.txt:Osaka,中转,0 ms,33 Mbps,4341 kB/s,4341.0
8.209.217.106,443,8.209.217.106,JP,Tokyo,中转,147 ms,31 Mbps,4014 kB/s,4014.0
192.9.180.162,443,192.9.180.162,AU,Sydney,中转,193 ms,31 Mbps,3992 kB/s,3992.0
138.3.222.33,443,138.3.222.33,JP,Tokyo,中转,227 ms,31 Mbps,3977 kB/s,3977.0
129.151.148.35,443,2a09:bac5:12:25a::3c:1c,AE,Dubai,隧道,210 ms,30 Mbps,3962 kB/s,3962.0
129.146.254.39,443,2603:c020:9:e483:690:2c88:ed7a:3091,US,Los Angeles,隧道,52 ms,25 Mbps,3295 kB/s,3295.0
8.219.68.162,443,2001:470:35:b48::2,US,Singapore,隧道,221 ms,24 Mbps,3140 kB/s,3140.0
44.230.218.23,443,52.35.136.129,US,,隧道,57 ms,22 Mbps,2861 kB/s,2861.0
8.222.155.206,443,8.222.155.206,SG,Singapore,中转,220 ms,17 Mbps,2264 kB/s,2264.0
64.110.104.30,443,64.110.104.30,JP,Osaka,中转,196 ms,15 Mbps,1942 kB/s,1942.0
129.159.84.71,443,129.159.84.71,US,Ashburn,中转,28 ms,6 Mbps,782 kB/s,782.0
149.129.8.215,443,47.254.87.121,US,San Jose,隧道,200 ms,3 Mbps,416 kB/s,416.0
47.57.233.126,443,47.254.17.16,US,San Jose,隧道,211 ms,2 Mbps,315 kB/s,315.0
54.169.229.188,443,2406:da18:618:7e00:33b7:2027:d986:fdaa,SG,Singapore,隧道,207 ms,2 Mbps,306 kB/s,306.0
152.70.48.241,443,2606:f240:f00:5a42:0:6a49:53da:3bbe,US,Frankfurt,隧道,158 ms,0 Mbps,100 kB/s,100.0
150.230.47.3,443,150.230.47.3,US,San Jose,中转,53 ms,0 Mbps,88 kB/s,88.0
47.254.65.110,443,47.254.65.110,US,San Jose,中转,73 ms,0 Mbps,42 kB/s,42.0
47.57.13.107,443,8.212.23.141,HK,Hong Kong,隧道,214 ms,0 Mbps,40 kB/s,40.0
8.210.92.27,443,8.210.92.27,HK,Hong Kong,中转,212 ms,0 Mbps,33 kB/s,33.0
